Polarity,Text
positive,The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.
neutral,"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least."
positive,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well."
positive,The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty.
positive,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside."
neutral,also make sure you pay attention to the music being piped in - quite a weird selection.
positive,The establishment scores big points in presentation and style.
positive,"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention."
positive,"good music, great food, speedy service affordable prices."
conflict,"Not a large place, but it's cute and cozy."
positive,I must say the view of NYC is so beautiful!
positive,"Otherwise, this place has great service and prices and a nice friendly atmosphere."
conflict,"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander."
negative,"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here."
positive,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices."
positive,The setting is casual and romantic.
positive,Baluchi's has solid food and a nice decor at reasonable prices.
negative,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.
positive,"The ambience was nice, but service wasn't so great."
neutral,The location and ambience is Ok but the food is what makes up for it.
neutral,Its not the same if you have to sit inside.
positive,Great people watching as others do the same to you.
negative,"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation."
negative,"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review."
positive,"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime."
negative,Big and gawky on the outside.
positive,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return."
negative,The photos of the restaurant in its web site are way better than the real look.
negative,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.
positive,Metrazur has a beautiful spot overlooking the main terminal.
negative,The restaurant is rather small but we were lucky to get a table quickly.
positive,I love this cozy around the way Rest.
negative,"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty."
positive,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.
positive,"The food was very good, a great deal, and the place its self was great."
neutral,"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown)."
positive,The place itself is beautiful the bar scene seems to be happening.
positive,Check out the secret back room.
positive,"It's also attached to Angel's Share, which is a cool, more romantic bar..."
positive,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list."
negative,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.
positive,With the theater 2 blocks away we had a delicious meal in a beautiful room.
negative,"I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it."
positive,The characters really make for an enjoyable experience.
conflict,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese."
positive,"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh)."
positive,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).
conflict,If you don't mind all that noise then go to the Chart House.
conflict,"So, if yo really don't care who is sittingnext to you, which is about 2 inches away, I would say try it."
neutral,"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet...."
positive,"While the ambiance and atmosphere were great, the food and service could have been a lot better."
negative,I had to share my table with a loud group of kids and the service was rude an unattentive.
positive,"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me."
negative,The food is usually good but it certainly isn't a relaxing place to go.
positive,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!"
conflict,"Even though it is a little loud, you don't have to yell at each other to talk."
conflict,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.
negative,"Behind this counter, two men are squeezed in."
conflict,The website and rating makes this place look wonderful but in reality it was very disappointing.
positive,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.
positive,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date."
positive,It is a lot of fun with live entertainment and all kinds of Disney type special effects.
negative,Now it's so crowded and loud you can't even talk to the person next to you.
negative,"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup."
neutral,It's a much more grown up restaurant compared to the rest of the street.
positive,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY."
positive,"I found it on a cold night, the perfect spot to warm up."
positive,Located at the end of a magnificent block.
positive,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen."
positive,They don't walk around with the trays of Dim Sum.
positive,We had a great tiem watching the shows and characters and ar food was just what we were looking for.
positive,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!"
negative,There is also very limited seating and there can be a substantial wait in getting food at peak times.
positive,Don't waste money on decor.
positive,They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?
conflict,"Given the incredible architecture surrounding it, this place has no character."
negative,"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck."
positive,"It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service."
positive,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests."
positive,The place was quiet and delightful.
positive,The prices and ambience are especially great considering it's in the West Village.
negative,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables."
conflict,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity."
positive,The atmosphere is great!!!
positive,"It can be a very fun experience with a group, and kids (6 and over) would love it."
neutral,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down ."
negative,"Filled with suits, though, so you never really feel terribly comfortable."
positive,"It's like you are transported to the Italian countryside, very romantic and filled with antiques."
positive,"Interesting selection, good wines, service fine, fun decor."
negative,But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.
negative,I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.
positive,I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!
positive,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service."
positive,Warm and friendly in the winter and terrific outdoor seating in the warmer months.
positive,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience."
positive,"Always a nice crowd, but never loud."
neutral,Decor is minimalist and clean - nothing to distract or commend.
positive,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average."
negative,This place is incredibly tiny.
positive,"I didn't complain, I liked the atmosphere so much."
positive,"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence."
negative,The people in the restaurant were pretty obnoxious and loud.
negative,I was with a party of 7 (close but not next the the front doors) and we were eating with our coats on.
positive,"A very inviting restaurant, with friendly service."
positive,"THe back garden sitting area is very pleasant, where you can see their personal herb garden."
positive,The ceiling is amazing!
negative,"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped."
positive,Big Wong gets big Ups for a fine establishment.
negative,Oh and it's too tiny for families with strollers.
negative,Delicious food at a great price but do not go here on a cold day and sit by the front door.
conflict,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm."
positive,"THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY."
conflict,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible."
negative,"Most people eat there seem to be typical Upper East Side snobs, so be aware."
negative,Too cold to enjoy.
conflict,"Inside is a little cramped, but to be expected."
negative,"So, for good food i'd recommend it, but not for a fun night out."
conflict,"Of course, it is crowded but who cares."
positive,"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great."
neutral,People dress in suits or evening gowns as well as shirts jeans.
conflict,"The place does get crowded, so I recommend going between 4-5 PM."
positive,"Good, dark atmosphere and the music is a nice touch."
positive,"Great for groups, great for a date, great for early brunch or a nightcap."
positive,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.
positive,"Because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather."
positive,Our family never expected such incredible entertainment in a restaurant.
positive,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
negative,"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine."
positive,The dining room is quietly elegant with no music to shout over -- how refreshing!
positive,"Great food, great lay out and awesome service."
positive,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.
positive,"The food was amazing, the service was so attentive and personable, and how about that ambience!"
positive,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there."
neutral,"And forget what you read under me, the atmosphere isn't that bad either."
negative,"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks."
conflict,"Although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter."
negative,You can barely see who you are with never mind have a conversation.
positive,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there."
positive,The location is perfect.
conflict,"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window."
conflict,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal
conflict,And I say snacking because it really is not set up to be a proper dinner.
positive,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!
positive,"If your visiting, you'll enjoy the ambiance and the fact that it's in Time Sq..."
positive,LOVE the atmosphere - felt like I was in Paris.
positive,"Spice is sleek, modern and cool with a menu that will not hurt your wallet."
positive,Patroon features a nice cigar bar and has great staff.
positive,Very affordable and excellent ambient!
positive,Its a go-to for dates as well as entertaining out of town guests.
negative,Why do people rave about the ambience.
positive,The owner and staff are all Japanese as well and that adds to the entire ambiance.
conflict,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate."
conflict,The place was real empty but that was because this was the first Sunday they ever opened.
conflict,This little place definitely exceeded my expectations and you sure get a lot of food for your money.
positive,"Ambience is delightful, service impeccable."
positive,"Service was excellent, and the AC worked very well too (thank God, it was hot!)."
positive,"The staff was accomodating, the food was absolutely delicious and the place is lovely."
positive,Great atmoshere and worth every bit.
positive,"Excellent atmosphere, delicious dishes good and friendly service."
positive,A cool place to hang with your friends for a couple of healthy drinks and desserts.
positive,"Great vibe, lots of people."
negative,"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th."
positive,"A cool bar with great food, and tons of excellent beer."
positive,The ambience is authentic and relaxing and we have always received attentive and prompt service.
positive,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
positive,Romantic if you want it to be (brightly lit).
positive,"Even though I made the reservation at 3pm for the same night through Dinnerbroker, we were seated at a table with one of the best view!"
negative,The red sliding doors may be unique but they do not block off the cold air from the outside.
positive,In summer-eat outside on a terrace (another great feature of Suan)!!!
positive,"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar..."
conflict,"To dine at Thalia can be slightly deceiving because while its beautiful on the outside, its so bland on the inside."
positive,"It's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even."
positive,Love the Jazz bands on Fri and Sat.
negative,"Don't expect to sit down inside though, there are only a few tables and they are always full."
positive,"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!"
positive,"This place is cool enough to be in the East Village, but French enough to make you feel like you could be in a bistro in a back alley in Paris."
positive,"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown."
positive,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater."
negative,"The decor is really blah, and not at all hip or happening."
positive,"Having discovered Ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in."
negative,"Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there."
positive,"To me it exemplifies Soho, cute, artsy, interesting."
negative,"at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous."
positive,"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire."
positive,The place was nice and calm.
negative,"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint."
neutral,"For myself and family we would only go here to celebrate an occassion, I do prefer smaller, quiter restaurants."
positive,"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi."
neutral,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro."
neutral,There is a real gallery of stars that have visited.
negative,"The food was below average, the service was pathetic, there was no ambience at all."
positive,I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.
positive,"Toons has recently been redone, so it's now a very attractive space."
positive,"Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time."
positive,"However, I think this place is a good hang out spot."
negative,"When we left at 8:00 PM, it was packed and noisy."
positive,Decor is nice though service can be spotty.
conflict,And even with it's Pub atmosphere they were great to my kids too!
positive,Really cool stauff inside.
positive,"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled."
positive,"The blond wood decor is very soothing, the premium sake is excellent and the service is great."
negative,"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?"
positive,Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.
negative,"Like others have said, don't expect the restaurant to make a nite out romantic for you and yes, a busy restaurant may require you to wait."
positive,Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.
conflict,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying."
positive,It's a small cute restaurant.
positive,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
negative,Restaurant was dirty and unkempt.
conflict,It is a small restuarant so go early and it will be nice and quiet- go late and it will be packed!
neutral,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair."
conflict,"Great roofdeck, nice group of 30 somethings, but no music, kind of quiet."
positive,"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting."
conflict,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!"
positive,The music is the best among all the Indian restaurants I have visited.
positive,Rao's has the best service and atmosphere in NYC.
positive,"Excellent dumplings served amid clean, chic decor."
positive,"Cute place, nice wait staff but would never go there again."
negative,Service was also horrible and the ambience is not that great.
positive,"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city."
negative,Here's to the fake fish tanks too...
positive,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad."
positive,we decided to eat in tea room which was small and cute.
positive,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative."
positive,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
positive,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
negative,Prices too high for this cramped and unappealing resturant.
positive,Total hipster-wannabe attitude in an otherwise sweet spot.
positive,Downstairs lounge is always a good attraction
positive,This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.
positive,I loved everythig about it-especially the shows and actors.
negative,Zero ambiance to boot.
negative,Got a little loud after 8pm when the joint got full.
positive,"Everything looks great, the drinks, the decor, the food, even the people."
conflict,"It is sometimes a little cramped, and can get a little warm, but hello, it's NYC!"
positive,"Good crowd, good outdoor seating, with a hip japanese vibe."
positive,"However, their popularity has yet to slow down, and I still find myself drawn to their ambiance and delectable reputation."
positive,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch."
positive,"The view is spectacular, and the food is great."
conflict,"The place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and I got our food, the line reached the door."
negative,A bit breezy up there on the mezzanine from the wind coming from the tracks.
positive,I LOVED THE SHOWS.
negative,The aesthetics of this place are like an airport lounge.
positive,The pizza is yummy and I like the atmoshpere.
positive,"However, go for the ambience, and consider the food just a companion for a trip across the world!"
negative,I think the restaurant was too loud (when full) to be romantic.
conflict,"Always popular, always full, always a wait."
conflict,A little noise but I think that was because of our party!
positive,"I can't wait for summer, when they serve outside on their gigantic patio."
negative,"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle."
positive,"The service is excellent, the decor is great, and the food is delicious and comes in large portions."
positive,A word to the wise - the Hoboken health inspector clued me to his findings that this is THE cleanest restaurant in town.
negative,The place is small and cramped but the food is fantastic.
negative,A little crowded but they move that line really fast!
positive,The entertainment was great they have shows that go on through out the dinner.
neutral,"It's true, you feel like your in a scene from Goodfellas."
positive,The ambience is very romantic and definitely a good place to bring a date.
conflict,"It is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere."
positive,"Very neighborhoody, very quick and sufficient."
negative,And I could do without the cigar smoke.
positive,The ambience is very calm and quiet.
positive,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.
conflict,"Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in."
negative,For those prices and the dressed up atmosphere you expect more and should get more.
positive,We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.
negative,Ambiance is barely romantic but management tries.
positive,"Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens."
negative,If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.
positive,Right off the major deegan you get ladies from all over the city.
positive,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!"
positive,A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.
negative,"Well, this place is so Ghetto its not even funny."
positive,Cute and decorative.
negative,"I know this is the case in many nyc eateries, but here, they really cram you in to the point where it's borderline uncomfortable."
positive,"Sure, the setting is nice."
positive,Some of the finest latin women you'll see in your life hang out at Jimmy's.
positive,I do suggest to ask to be seated upstairs if you are looking to be a little cozy.
negative,"The puke green walls leave a lot to be desired, but the food is very good."
positive,"So, the menu is written in chalk above your head and it all sounds delicious."
positive,There is not a single place in Chinatown where you have a nice neighborhood feeling like here.
positive,"While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in New York City, the food was not what I had hoped for."
positive,I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.
positive,"His wife Tanya, the hostess, completes the comforting atmosphere by being delightfully warm and gracious."
positive,"But the best part about LS is the late night atmosphere, delightfully free of the BTs."
positive,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place."
conflict,"though the service could be better (possibly due to more than one very large group in the house), it is very cordial and warm, as is the general clientele."
positive,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse."
positive,This is a cute place and could be good but they need to get their act together.
positive,"The place is sleek, modern and playfull and i will return again frequently."
positive,The service is good and ambience is good for a date or group outing.
neutral,ALWAYS full with tourists (especially because of it's close proximity to Rockefeller Center).
conflict,"The decor is nice, but more casual than fine dining."
positive,The service is fine and they allow you to enjoy the view.
positive,delicious simple food in nice outdoor atmosphere.
positive,i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).
positive,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.
positive,The atmosphere is much better than Sripraphai (more modern and sleek).
positive,"Anyhow, we were able to sit as long as we wanted and chat, which was nice."
positive,PERFECT FOR DATES!
positive,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best."
positive,"We love the food, drinks, and atmosphere!"
positive,"The vibe is very relaxed and cozy, service was great and the food was excellent!"
neutral,"If the weather is nice, try to snag an outside table."
positive,The service was friendly and the atmosphere was casual.
positive,20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.
conflict,"Forget the rush and the wait and the noise (which isn't actually that bad), I mean please, who goes to a steakhouse to be coddled and romantic?"
positive,Jimmy's is hands down the hottest night spot in the Bronx.
positive,"Nice ambiance, nice little bar, good bartender, Francois, and good service."
negative,Decor leaves something to be desired.
positive,"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food."
positive,"Oh yes, and if you are a fan of Indian oldies film stars, there are plenty of portraits of Indian actors and actresses in classic black white that adorn the walls, some of which, I would love to know where they obtained."
positive,The space is nice but when we order our drink we were in for a surprise.
negative,The entire place and the treatment we received felt as a conveyor belt.
positive,I in all reality felt as if I had just gotten off Air France and was in the 8th District in Paris.
positive,"The staff was very attentive, the ambience lovely, and the food superb."
positive,THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.
positive,"Warm, comfortable surroundings, nice appointments (witness the etched glass and brickwork separating the dining rooms)."
positive,"This is such a lovely, peaceful place to eat outside."
positive,"This is a great place to take out-of-towners, and perfect for watching the sunset."
negative,"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY."
neutral,I care more about the food and ambience.
positive,"great for a romantic evening, or a fun evening with friends..."
positive,"While this is a pretty place in that overly cute French way, the food was insultingly horrible."
negative,"Despite the fact that the space is large, they've overcrowded the floor with tables."
neutral,The jukebox plays everything from Italian Opera to The Strokes.
negative,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced."
positive,There is actually space to breathe and the decor sets the tone for an intimate dinner.
positive,"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot)."
negative,"While the room is not particularly comfortable, once you're seated you'll forget about everything except what's on your plate."
negative,I've lived in NYC all my life and had never before seen so many waterbugs in one place (except in a really bad dream).
positive,"The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca."
positive,"If it isn't for the food (A+++), it must be the service or the ambience."
positive,"I like the ambience, it's very dark and original."
positive,Not the typical NYC gimmick theme restaurant.
negative,Our last time there a few weeks ago was early at 5pm and it was very crowded and noisy.
conflict,"You are paying for the atmosphere, which is nice, but can be had in numerous places in Bay Ridge."
positive,It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.
negative,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.
conflict,The decor is very simple but comfortable.
conflict,Seating is ok even though sometimes there's alot of people.
negative,My only problem is that you are literally sitting on top of the people next to you!
positive,"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!"
negative,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often."
positive,"Great food, great decor, great service."
negative,There was no ambiance.
neutral,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.
negative,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion."
positive,"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays."
positive,I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.
positive,It's a nice place to relax and have conversation.
conflict,"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud)."
positive,Here you get the zen feel without feeling rigid.
positive,Indoor was very cozy and cute.
positive,The service is good and the resturant is clean.
positive,"Great spot, whether looking for a couple of drinks or quiet dinner."
positive,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better."
negative,"This place is a literal hole-in-the-wall that is buried within Doyers, right off of Pell St (barber's alley) in Chinatown."
positive,"Ambience is so cute and quaint, good for business although we were there on vacation."
positive,"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!"
negative,From the moment we walked in they were more than accomodating even though the place was packed.
negative,"It is LOUD, HOT and DARK."
positive,This place is the most Japanese it can ever get.
neutral,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo."
positive,Cozy romantic atomosphere with only around 15 tables at most.
