Polarity,Text
positive,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
positive,good selection of wines ranging from affordable to high end.
negative,Not impressed with the food.
positive,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
positive,"Order the panang duck, it's fantastic."
conflict,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders."
positive,They have authentic Indian at amazin prices.
positive,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck."
negative,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
positive,and yes Dal Bukhara is so dam good and so are all the kababs.
positive,I've been coming here as a child and always come back for the taste.
positive,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.
positive,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy."
negative,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene."
positive,The food always tastes fresh and served promptly.
positive,The pizza here is delicious.
positive,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
positive,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away."
negative,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food."
positive,Hats off to the chef.
positive,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's."
positive,Its an excellent place to relax and the food is one of the best in the city of New York.
negative,The food was bland oily.
positive,"What is even better, is that the prices are very affordable as well, and the food is really good."
conflict,The fish is fresh but the variety of fish is nothing out of ordinary.
positive,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine."
positive,"The food, drinks and service are clearly among the best in the city."
positive,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
positive,Try the tandoori salmon!
positive,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.
positive,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!"
negative,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
positive,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well."
positive,They were served warm and had a soft fluffy interior.
negative,What came to our table was burned beyond recognition and stringy.
negative,I had the Pad Thai and the noodles were sticky.
positive,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison."
positive,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!"
positive,The food is great.
positive,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.
positive,Decent wine at reasonable prices.
positive,even the wine by the glass was good.
positive,This dish is my favorite and I always get it when I go there and never get tired of it.
positive,"I also ordered the Change Mojito, which was out of this world."
positive,The only thing more wonderful than the food (which is exceptional) is the service.
negative,"The food was just awful, ATROCIOUS actually."
negative,The soup for the udon was soy sauce and water.
positive,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains."
positive,The waitress suggested glasses of wine that went very well with the food.
positive,"They might be all business at the counter when you give your order, but their food says I love you."
positive,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
positive,Try their plain pizza with fresh garlic or eggplant.
positive,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!"
positive,"Trust me, it will be great, and all of it will be devoured in no time."
positive,The pizza is good though.
positive,bottles of wine are cheap and good.
positive,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini."
positive,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
positive,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu."
positive,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.
positive,Our food was great too!
positive,"Please try the Filet Mignon, its just the most tender piece ever."
positive,"Everything we had was pretty good, but we have only been there once."
positive,The sake menu should not be overlooked!
positive,the drinks are amazing and half off till 8pm.
positive,i've been back to nha trang literally a hundred times for the beef cubes - they're that good.
positive,"The service, wine selection, ambiance are all outstanding and deserve recognition."
conflict,"The food was pretty good, but a little flavorless and the portions very small, including dessert."
positive,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.
positive,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
positive,The food here does a great service to the name (Cantonese that is...).
neutral,"But, nothing stands out about the cooking."
positive,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.
positive,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
negative,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was."
positive,"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item."
negative,Too bad the food wasn't of the same heritage.
conflict,"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside."
positive,"The food was really good, I had the onion soup and it was one of the best ever."
negative,I'm not picky - but it was actually gross.
conflict,"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again."
neutral,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice."
positive,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery."
negative,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here)."
negative,If you want good authentic Thai this place is not the place to go.
neutral,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
positive,"If you want some roast duck, pork or chicken on rice with ginger, try them out!"
positive,Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).
positive,"The food was terrific and the service classy, attentive, without being overbearing."
positive,This is an amazing place to try some roti rolls.
positive,Fresh ingredients and everything is made to order.
conflict,"They are tasty, but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system."
positive,"Try the hot dogs too, they're snappy and delicious."
positive,Personal pans are the perfect size for those hungry nights.
positive,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.
positive,just got back from lunch at Tamarind and it was excellent.
positive,"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's."
positive,Try the cheesecake!
negative,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.
positive,Great Indian food and the service is incredible.
positive,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well."
conflict,"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor."
negative,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.
positive,"Especially liked chicken tikka and the naan, and the dals."
positive,The sangria was pretty tasty and good on a hot muggy day.
negative,"For the people who want great food plus great service, Roxy is a place to AVOID!"
positive,I had the best ravioli ever.
conflict,"While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty."
negative,"Quite frankly, this is some of the worst sushi I have ever tried."
positive,"The food is great, service is ok."
positive,"Spice is great Thai food, love the inexpensive appetizers."
positive,"He not only makes his own homemade mozzarella, but every pie is ultra fresh."
negative,Fish was overdone.
positive,We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.
positive,"The rest of the dim sum, though pricey by Chinatown standards, is worth it."
positive,Good food.
positive,The dim sum however was very good.
neutral,Went there and had a combination of different seafood dishes and appetizers.
negative,Plain and simple it's bad thai food.
neutral,Usually 3 vs. 4 items per dish.
conflict,"While certain staples are excellent (the burger, some of the pastas), the food is not really the point."
neutral,"The Dim Sum was so-so, but not spectacular."
neutral,The food was so-so.
positive,Food-awesome.
positive,"good music, great food, speedy service affordable prices."
conflict,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.
negative,The sides were ok and incredibly salty.
negative,"For some reason, all the seafood on the menu was unavailable except for the Salmon."
positive,"The beverages were excellent, and the dessert was good."
conflict,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks."
positive,"If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope."
positive,Highly recommend this as great value for excellent sushi and service.
positive,The food is awesome - definitely try the striped bass.
positive,black white shakes came out good also.
neutral,I ordered the chu chu curry and my friend ordered the pad thai chicken.
neutral,We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.
positive,"However, they've got the most amazing pastrami and the soups hit the spot."
positive,Great bagels made the old-fashioned way.
positive,"This is some really good, inexpensive sushi."
positive,"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good."
negative,"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too."
positive,The pizza is delicious and the proprietor is one of the nicest in NYC.
positive,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices."
positive,The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.
positive,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi."
positive,The desserts are more appealing then stuffy overpriced French restaurants.
positive,"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner..."
positive,"I found the food to be outstanding, particulary the salmon dish I had."
positive,Mizu is home to creative and unique rolls not to found anywhere else.
positive,Baluchi's has solid food and a nice decor at reasonable prices.
conflict,"Moules were excellent, lobster ravioli was VERY salty!"
positive,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises."
neutral,i don't usually order wine with indian so i can't comment on their wine list or their wines.
positive,Pastrami or corned beef are juicy and piled high (ask for extra rye bread).
negative,"Really though, where's the seasoning?"
negative,"The food was just OK, at least for what food was available."
positive,The waitress was very patient with us and the food is phenomenal!
positive,"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back."
positive,The location and ambience is Ok but the food is what makes up for it.
positive,"otherwise, good stuff for late nite eats."
negative,"The dinner was ok, nothing I would have again."
negative,It is thick and slightly soggy.
positive,I love and I know gourmet food by excellence!
positive,"I plan to come here again and look forward to trying their assortment of bruschetta, panini's....."
positive,"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu."
positive,"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd."
positive,"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation."
conflict,"The first time the sushi was outstanding, the second time it was a little bland."
positive,The portions are large and the servers always surprise us with a different starter.
positive,"delicious bagels, especially when right out of the oven."
positive,All the food was hot tasty.
conflict,This is one great place to eat pizza more out but not a good place for take-out pizza.
positive,Try green curry with vegetables.
negative,"The food was not very tasty, the portioins were tiny even for such a high quality restaurant."
positive,"The Pad Thai is excellent here, as well."
negative,I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.
positive,"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas."
neutral,"The food is o.k., but not any better than what you get at a good neighborhood restaurant."
positive,We had the pot-stickers which were great and a tempura dish that was great.
negative,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return."
positive,"Orsay, is without a doubt one of the best values for authentic French food in NYC."
negative,"Well, their deliveries take for ever and the food is usually cold."
positive,Chinese Desserts are known for healthful benefits in addition to the sweetness.
positive,And really large portions.
negative,I ordered the smoked salmon and roe appetizer and it was off flavor.
positive,"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food."
positive,"I recommend the garlic shrimp, okra (bindi), and anything with lamb."
positive,"The menu was impressive with selections ranging from a burger, to steak, to escargot."
positive,"In fact, two people could really share one plate."
positive,The food is great and authentic.
positive,"Anyway, the food is good, the price is right and they have a decent wine list."
positive,Prices are higher to dine in and their chicken tikka marsala is quite good.
positive,This place has many different styles of pizza and they are all amazing.
negative,The food was lousy - too sweet or too salty and the portions tiny.
positive,But the coconut rice was good.
positive,The food was great.
positive,Pair you food with the excellent beers on tap or their well priced wine list.
positive,All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.
positive,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables."
positive,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).
negative,"But, they were too big for the bun."
positive,"The food is fresh, delicious, and reasonably priced."
positive,Raga stands out with an interesting fusion of French and Indian cooking.
negative,"A few tips: skip the turnip cake, roast pork buns and egg custards."
positive,The bagels are fabulous.
positive,"The food was very good, a great deal, and the place its self was great."
positive,The food options rule.
negative,"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary."
neutral,"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight."
negative,"Their calzones are horrific, bad, vomit-inducing, YUCK."
positive,"Good spreads, great beverage selections and bagels really tasty."
positive,"Also, top the meal with a delicious and perfect slice of tiramisu."
positive,"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door."
positive,Stick to the gulab jamun.
positive,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list."
positive,With the theater 2 blocks away we had a delicious meal in a beautiful room.
positive,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.
positive,The food is great and reasonably priced.
positive,I would definitely recommend SEA if you like thai cuisine!
positive,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese."
conflict,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had."
positive,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment."
positive,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY."
positive,The food is prepared quickly and efficiently.
positive,"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven."
positive,The food looked very appetizing and delicious since it came on a variety of fancy plates.
positive,Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.
negative,"The food is terrible and overall, I would have to say avoid at all costs."
negative,"Unfortunately, the food was NOT something to get worked up about."
positive,"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh)."
neutral,I had Filet Mignon with garlic mash.
positive,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous."
positive,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutt"
positive,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating."
positive,"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs."
positive,He takes real pride in his food and his business.
positive,"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe."
positive,"Over the years, it has always provided a pleasurable dining experience with quality food and wine."
positive,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered."
positive,too large for just two people but nothing was left.
positive,I cannot imagine better Indian food in all of the city.
positive,very good breads as well.
negative,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.
positive,"Pizza is terrific, as is homemade pasta."
positive,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations."
positive,Consistently good Japanese Tapas.
positive,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing."
positive,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
positive,The food is reliable and the price is moderate.
negative,"While the ambiance and atmosphere were great, the food and service could have been a lot better."
positive,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too ."
positive,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.
positive,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses."
positive,The food is usually good but it certainly isn't a relaxing place to go.
positive,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!"
positive,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house..."
neutral,"It's not mind-blowing, but to me, thai food never is and never will be."
conflict,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)."
conflict,"Although, one night we went it was super cheesy, and another night it was less cheesy."
positive,"i've been to sapphire twice and both times the food was fine, if not good."
positive,I love the fact that the pizza tastes so good and is so cheap.
positive,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil."
negative,The sushi was awful!
positive,"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience."
negative,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.
negative,"Late nite omelletes are not good here, there is no variety!"
positive,Everything at Sala Thai is tasty and well-portioned.
positive,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service."
conflict,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art."
positive,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
negative,"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic."
neutral,The scallion pancakes and fried dumplings were nothing out of the ordinary.
positive,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
negative,The food now is inconsistent.
positive,I was pretty much full after our fondue appetizer.
neutral,BE CAREFUL before you request extra spice.
positive,The octopus eaters were floored by the Octopus salad.
negative,We thought that this place is using too much of MSG cooking in the foods.
negative,And the Tom Kha soup was pathetic.
positive,I started out with a Bombay beer which was big enough for two.
conflict,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
positive,"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return."
positive,The best thing I tasted were the lambchops.
positive,it's delicious!
positive,The spicy tuna and salmon are the best we've ever had.
positive,"Even though its good seafood, the prices are too high."
positive,"In addition, the food is very good and the prices are reasonable."
neutral,"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices."
positive,"Try the crunchy tuna, it is to die for."
negative,It won't break the bank but I also wouldnt come back for the food.
positive,"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side)."
negative,"No refills on fountain drinks, though."
positive,Wow over 100 beers to choose from.
positive,Be careful of portions - they're HUGE.
positive,"The Steak Tartare is a great bet, they fix it for you at the table."
negative,My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.
neutral,Did I mention the wine?
positive,"Plus, on Wednesday nights the house wine is unlimited!"
positive,Even my Indian friend couldn't believe how good and tasty everything was.
negative,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.
neutral,The dim sum servings here are a bit larger than I'm used to.
negative,We won't go to this place again for a good meal.
conflict,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance."
positive,Taj Mahal offeres gret value and great food.
negative,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars."
positive,"Outstanding Bagels, but you get what you pay for."
positive,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!"
negative,They even have a section in the menu called American Chinese food!
positive,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared."
neutral,kalbi and nebbiolo do work together.
positive,"Best Italian food I ever had (and being Italian, that means alot)."
positive,I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.
positive,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen."
positive,I really loved the different and inovated touch that's the cheff gives to the food.
negative,They came out over cooked and the cheese was almost non existant.
positive,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good."
positive,"The food is good, especially their more basic dishes, and the drinks are delicious."
positive,But the main hit was the whole grilled fish.
positive,The food is delicious and beautifully prepared along with the friendly and personable service.
positive,Pizza here is consistently good.
positive,We had a great tiem watching the shows and characters and ar food was just what we were looking for.
negative,Sauce was watery and the food didn't have much flavor.
positive,My husband and I enjoy Sangria.
positive,"But after last night, Spice Grill is the only place I'm eating indian cuisine."
positive,We both opted for a pasta dish and they were served timely and fresh.
positive,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!"
positive,"In an area sadly lacking in decent Thai food, this is one of the best spots."
positive,The food was average or above including some surprising tasty dishes.
negative,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.
neutral,Other apetizers and food
positive,The noodle and rices dishes taste great.
positive,The food's as good as ever.
positive,"The crust is thin, the ingredients are fresh and the staff is friendly."
negative,"the food was undercooked-the sauce watery, and the vegetables raw."
positive,And the fried clams had just enough kick to them to make 'em worth eating.
negative,The sauces used are also not that exciting.
positive,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.
negative,The rice was poor quality and was cooked so badly it was hard.
positive,We had champagne and caviar and felt like princesses!
positive,The shrimp scampi was excellent and the antipasti were plentiful.
positive,"I got the $10 10-piece dim sum combo, every bite of which was great."
positive,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!"
positive,If you like spicy food get the chicken vindaloo.
positive,I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.
positive,"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers."
positive,And its absolutely DELICIOUS.
conflict,I would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine.
positive,This is my first time writing a review for a restaurant because the food and service was excellent.
positive,"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city."
neutral,I have never before eaten 40 pieces of relatively good nigiri.
positive,"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck."
positive,Have frequented 'ino for several years and the food remains excellent.
positive,"Their eggplant is so delicate, sweet tender!"
positive,"Each bite of food at Kai was indeed delicious, fresh, and elegant."
positive,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.
positive,My friend got the mushroom pizza which tasted better.
conflict,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries)."
negative,You should pass on the calamari.
negative,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle."
positive,Try the spicy wontons and the salt pepper shrimps.
positive,THE FOOD PORTIONS ARE REALLY LARGE.
positive,The fries are yummy.
positive,Best Taiwanese food in NY!
positive,This place is a great stop for great food.
positive,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.
negative,"they were dry and disgusting, i didn't even finish my first piece."
positive,"All of it was simply amazing, unique and tasty and best of all it didn't break the bank."
positive,"Great wine list, reasonably priced.--Sara"
negative,The hot dogs were cold in the middle and the buns were stale.
positive,"While the food was excellent, it wasn't cheap (though not extremely expensive either)."
positive,Beef noodle soup is good as well.
positive,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine."
conflict,They pray to their Food Gods to make them into a good pizza like VT's.
positive,.the best I've found outside of the Chinatown masters.
positive,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.
positive,"As much as I like the food there, I can't bring myself to go back."
negative,It looked like shredded cheese partly done - still in strips.
positive,The soup is pretty good too.
